KEY;TR;EN
guestprofile;Misafir hesapların profil bilgisi bulunmamaktadır.;Guest accounts do not have profile information.
dontspecify;Belirtmek İstemiyorum;I Don't Want to Specify
unspecified;Belirtilmemiş;Unspecified
male;Erkek;Male
female;Kadın;Female
malecode;E;M
femalecode;K;F
unspecifiedcode;B;N
governmentservice;Devlet Kurumu;Government Service
confirmdeleteacc;DİKKAT! Hesabınız kalıcı olarak silinecektir. Bu işlem geri alınamaz. Devam etmek istiyor musunuz?;WARNING! Your account will be permanently deleted. This action cannot be undone. Do you want to continue?
titleconfirmdeleteacc;Hesabı Sil;Delete Account
successfulldeleteacc;Hesabınız başarıyla silindi. Hoşçakalın!;Your account deleted successfully! Goodbye!
faileddeleteacc;Hesap silinirken bir hata oluştu.;Failed to delete account.
failedaddressregister;Adres kaydedilemedi.;Address couldn't be registered.
successfulluserregister;Kullanıcı kaydı başarıyla oluşturuldu.;User successfully created.
successfullcompanyregister;Şirket kaydı başarıyla oluşturuldu.;Company successfully created.
emptyfields;Lütfen tüm alanları doldurun!;Please fill all fields!
errorlowweightvolume;Ağırlık ve hacim sıfırdan büyük olmalıdır!;Weight and volume must be greater than zero!
successfulldisposal;Atık başarıyla eklendi!;Disposal successfully added!
faileddisposal;Atık ekleme sırasında bir hata oluştu.;Failed to add new disposal.
invalidweightvolume;Lütfen ağırlık ve hacim için geçerli sayı giriniz.;Please enter a valid number for weight and volume.
nodisposalrecord;Henüz atık kaydı yok.;No disposals yet.
waiting;Bekliyor;Waiting
confirmdeletedisposal;Bu atık kaydını silmek istediğinize emin misiniz?;Are you sure you want to delete this disposal?
delete;Sil;Delete
faileddelete;Silinemedi.;Failed to delete.
faileddeletedisposal;Silinemedi. Kayıt rezerve edilmiş veya geri dönüştürülmüş olabilir.;Could not be deleted. The record may be reserved or recycled.
confirm;Onay;Confirm
invalidemail;Lütfen geçerli bir e-posta adresi giriniz.;Please enter a valid email address.
warning;Uyarı!;Warning!
notification;Bilgilendirme;Notification
filter;Filtre;Filter
reservedones;Rezerve Edilenler;Reserved
recycledones;Geri Dönüştürülenler;Recycled
nodisposals;Atık bulunamadı.;No disposal found.
nodata;Veri yok.;No data.
save;Kaydet;Save
returntologin;Giriş Ekranına Dön;Return to Login
status;Durum;Status
feedprefix;Son;Last
feedsuffix;Adedi;Items
showbtn;Göster;Show
networkwarning;Bağlantınızı kontrol edin. Eğer Eduroam gibi kısıtlı bir okul/yurt interneti kullanıyorsanız VPN veya mobil veri kullanın.;Check your connection. If you are using a restricted school/dormitory internet connection such as Eduroam, use a VPN or mobile data.
networkwarningtitle;Bağlantı Kurulamadı!;Connection Failed!
loggingin;Giriş Yapılıyor;Logging In
errorunexpected;Beklenmedik bir hata oluştu!;An unexpected error occurred!
noemailassociated;Bu e-posta adresine ait bir hesap bulunamadı.;No account found with this email.
forgotpass;Parolamı Unuttum;Forgot My Password
passwordsent;Eğer girdiğiniz e-posta adresi sisteme kayıtlıysa yeni parolanız başarıyla gönderildi. Spam klasörünü kontrol etmeyi unutmayın.;Your new password has been successfully sent if the email address you entered is registered in the system. Don't forget to check spam folder.
emailnotfound;Girdiğiniz e-posta adresi bulunamadı!;Email cannot be found!
mailpasssubject;Yeni Hesap Parolanız / GreenHood;New Account Password / GreenHood
hello;Merhaba;Hi
passresetrequest;Hesabınız için şifre sıfırlama talebinde bulundunuz.;You have requested a password reset for your account.
newtemppass;Yeni geçici şifreniz: {0};Your new temporary password is: {0}
changetemppass;Lütfen giriş yaptıktan sonra şifrenizi değiştirin.;Please change your password after logging in.
mailpasswarning;Eğer bu değişikliği yapan siz değilseniz en kısa zamanda bu şifreyi kullanarak hesabınıza giriş yapın ve e-posta adresinizi değiştirin.;If you did not make this change, log in to your account using this password as soon as possible and change your email address.
enteremail;Hesabınızın kayıtlı olduğu posta adresini girin.;Enter the email address associated with your account.
resetpasstitle;Parola Sıfırlama;Reset Password
waitbeforenewrequest;Yeni bir sıfırlama isteği oluşturmak için {0} saniye daha beklemelisiniz!;You must wait {0} seconds to create a new password reset request!
